Date,Symbol,Close
7/17/2019,USB,54.22
7/18/2019,USB,55.19
7/19/2019,USB,55
7/22/2019,USB,55.33
7/23/2019,USB,56.03
7/24/2019,USB,56.59
7/25/2019,USB,56.56
7/26/2019,USB,57.38
7/29/2019,USB,57.06
7/30/2019,USB,57.14
7/31/2019,USB,57.15
8/1/2019,USB,55.69
8/2/2019,USB,55.43
8/5/2019,USB,53.05
8/6/2019,USB,53.56
8/7/2019,USB,52.61
8/8/2019,USB,52.96
8/9/2019,USB,52.79
8/12/2019,USB,52.24
8/13/2019,USB,52.83
8/14/2019,USB,50.9
8/15/2019,USB,51.28
8/16/2019,USB,52.28
8/19/2019,USB,52.67
8/20/2019,USB,51.63
8/21/2019,USB,51.86
8/22/2019,USB,52.05
8/23/2019,USB,50.95
8/26/2019,USB,51.29
8/27/2019,USB,51.04
8/28/2019,USB,51.58
8/29/2019,USB,52.39
8/30/2019,USB,52.69
9/3/2019,USB,52.02
9/4/2019,USB,52.46
9/5/2019,USB,53.27
9/6/2019,USB,53.41
9/9/2019,USB,54.91
9/10/2019,USB,55.86
9/11/2019,USB,55.95
9/12/2019,USB,55.73
9/13/2019,USB,56.08
9/16/2019,USB,55.86
9/17/2019,USB,55.9
9/18/2019,USB,55.91
9/19/2019,USB,55.8
9/20/2019,USB,55.44
9/23/2019,USB,55.68
9/24/2019,USB,55.33
9/25/2019,USB,55.74
9/26/2019,USB,55.57
9/27/2019,USB,55.43
9/30/2019,USB,55.34
10/1/2019,USB,53.78
10/2/2019,USB,52.88
10/3/2019,USB,53.05
10/4/2019,USB,54.09
10/7/2019,USB,53.93
10/8/2019,USB,52.38
10/9/2019,USB,52.61
10/10/2019,USB,53.02
10/11/2019,USB,53.47
10/14/2019,USB,53.26
10/15/2019,USB,53.76
10/16/2019,USB,54.57
10/17/2019,USB,54.71
10/18/2019,USB,55.07
10/21/2019,USB,56.19
10/22/2019,USB,56.65
10/23/2019,USB,56.58
10/24/2019,USB,56.31
10/25/2019,USB,56.74
10/28/2019,USB,57.02
10/29/2019,USB,57.34
10/30/2019,USB,57.12
10/31/2019,USB,57.02
11/1/2019,USB,57.58
11/4/2019,USB,58.14
11/5/2019,USB,58.59
11/6/2019,USB,58.76
11/7/2019,USB,59.1
11/8/2019,USB,58.9
11/11/2019,USB,58.64
11/12/2019,USB,58.48
11/13/2019,USB,58.61
11/14/2019,USB,58.57
11/15/2019,USB,59.09
11/18/2019,USB,59.56
11/19/2019,USB,59.42
11/20/2019,USB,59.11
11/21/2019,USB,59.49
11/22/2019,USB,60.05
11/25/2019,USB,59.82
11/26/2019,USB,59.92
11/27/2019,USB,60.19
11/29/2019,USB,60.03
12/2/2019,USB,59.76
12/3/2019,USB,58.93
12/4/2019,USB,59.31
12/5/2019,USB,59.6
12/6/2019,USB,60.14
12/9/2019,USB,60
12/10/2019,USB,59.95
12/11/2019,USB,59.25
12/12/2019,USB,60.55
12/13/2019,USB,60.27
12/16/2019,USB,60.66
12/17/2019,USB,60.68
12/18/2019,USB,60.09
12/19/2019,USB,60.01
12/20/2019,USB,59.77
12/23/2019,USB,59.58
12/24/2019,USB,59.67
12/26/2019,USB,60.15
12/27/2019,USB,59.73
12/30/2019,USB,59.17
12/31/2019,USB,59.29
